
Valores verano

(0.341777,	57.525432),
(1.902168,	59.206483),
(3.489891,	60.863255),
(5.103246,	62.497814),
(6.740599,	64.112292),
(8.400377,	65.708889),
(10.081062,	67.289872),
(11.781191,	68.857583),
(13.499345,	70.414442),
(15.234149,	71.962961),
(16.984262,	73.505751),
(18.748372,	75.04554),
(20.525192,	76.585191),
(22.313446,	78.12772),
(24.111871,	79.676328),
(25.919198,	81.234422),
(27.734149,	82.805658),
(29.555426,	84.393974),
(31.381695,	86.003645),
(33.211576,	87.639332),
(35.043627,	89.30615),
(36.876323,	91.009746),
(38.708039,	92.756382),
(40.53702,	94.553049),
(42.361355,	96.407579),
(44.178938,	98.328795),
(45.987426,	100.326679),
(47.784189,	102.41256),
(49.566245,	104.59934),
(51.330181,	106.901744),
(53.072066,	109.336596),
(54.78733,	111.923113),
(56.470636,	114.683196),
(58.115713,	117.641683),
(59.715166,	120.826494),
(61.260261,	124.268574),
(62.740693,	128.001453),
(64.144344,	132.060205),
(65.457099,	136.47945),
(66.662744,	141.290069),
(67.743079,	146.514263),
(68.678353,	152.158979),
(69.448157,	158.208272),
(70.032865,	164.616282),
(70.415533,	171.303494),
(70.583981,	178.159189),
(70.532547,	185.051587),
(70.262981,	191.844091),
(69.78416,	198.413024),
(69.110739,	204.661437),
(68.261171,	210.525655),
(67.255661,	215.974518),
(66.114455,	221.003727),
(64.85666,	225.628258),
(63.499581,	229.875088),
(62.058452,	233.777351),
(60.546434,	237.370201),
(58.974773,	240.688173),
(57.35301,	243.763677),
(55.689226,	246.626274),
(53.990265,	249.302437),
(52.261941,	251.815605),
(50.509215,	254.186393),
(48.736343,	256.432864),
(46.94725,	258.570827),
(45.144389,	260.614123),
(43.331319,	262.57489),
(41.510278,	264.463802),
(39.683493,	266.290278),
(37.852974,	268.06266),
(36.020554,	269.788371),
(34.187925,	271.474047),
(32.356663,	273.125651),
(30.52825,	274.748571),
(28.704099,	276.347703),
(26.885565,	277.92752),
(25.073964,	279.492132),
(23.270584,	281.045341),
(21.476696,	282.590683),
(19.693566,	284.131463),
(17.922463,	285.670793),
(16.164664,	287.211616),
(14.42147,	288.756728),
(12.694204,	290.308802),
(10.984222,	291.8704),
(9.29292,	293.44399),
(7.621736,	295.031956),
(5.972157,	296.636603),
(4.345728,	298.260167),
(2.744049,	299.904817),
(1.168784,	301.572654),

Valores invierno

(0.949272	,123.916199)
(2.454254	,125.64688)
(3.926703	,127.407303)
(5.364646	,129.199226)
(6.766035	,131.024306)
(8.12875	,132.884076)
(9.450596	,134.779937)
(10.729315	,136.713131)
(11.962581	,138.68472)
(13.148018	,140.695562)
(14.2832    ,142.746285)
(15.365666	,144.837259)
(16.392936	,146.968568)
(17.362523	,149.139983)
(18.271955	,151.350936)
(19.118792	,153.600495)
(19.900654	,155.887348)
(20.615242	,158.209786)
(21.260365	,160.565699)
(21.833969	,162.952572)
(22.334163	,165.367498)
(22.759246	,167.807196)
(23.107733	,170.268042)
(23.378381	,172.746107)
(23.570205	,175.237207)
(23.682497	,177.73696)
(23.71484	,180.240851)
(23.667113	,182.744302)
(23.539494	,185.24274)
(23.332458	,187.73167)
(23.046766	,190.206744)
(22.683454	,192.663823)
(22.243813	,195.099033)
(21.729373	,197.508812)
(21.141872	,199.88995)
(20.483235	,202.239614)
(19.755544	,204.555367)
(18.961013	,206.835176)
(18.101959	,209.077407)
(17.180776	,211.280825)
(16.199911	,213.444568)
(15.16184	,215.568137)
(14.069051	,217.651363)
(12.924021	,219.694389)
(11.729206	,221.697635)
(10.487021	,223.661777)
(9.199836	,225.587712)
(7.869963	,227.476541)
(6.499648	,229.329537)
(5.091072	,231.148127)
(3.646342	,232.933872)
(2.16749	,234.688446)
(0.656477	,236.413628)
